SCHOOL_DISTRICT,SCHOOL_NAME,SYS_SCH,2014,2015,2016,2017
Cobb County,Hayes Elementary School,Cobb County – Hayes Elementary School,266,268,106,102
Cobb County,Vaughan Elementary School,Cobb County – Vaughan Elementary School,30,99,40,35
Cobb County,Chalker Elementary School,Cobb County – Chalker Elementary School,62,138,41,25
Cobb County,Nickajack Elementary School,Cobb County – Nickajack Elementary School,123,133,179,195
Cobb County,Lindley Middle School,Cobb County – Lindley Middle School,962,809,644,762
Cobb County,Kemp Elementary School,Cobb County – Kemp Elementary School,138,110,30,36
Cobb County,Pitner Elementary School,Cobb County – Pitner Elementary School,98,188,59,134
Cobb County,Austell Elementary School,Cobb County – Austell Elementary School,105,94,54,75
Cobb County,Allatoona High School,Cobb County – Allatoona High School,499,434,298,287
Cobb County,Smyrna Elementary School,Cobb County – Smyrna Elementary School,130,237,167,79
Cobb County,Dodgen Middle School,Cobb County – Dodgen Middle School,198,138,208,186
Cobb County,Mount Bethel Elementary School,Cobb County – Mount Bethel Elementary School,19,114,52,19
Cobb County,Pine Mountain Middle School,Cobb County – Pine Mountain Middle School,477,663,531,354
Cobb County,Dickerson Middle School,Cobb County – Dickerson Middle School,194,201,231,135
Cobb County,Lewis Elementary School,Cobb County – Lewis Elementary School,68,58,57,30
Cobb County,Mountain View Elementary School,Cobb County – Mountain View Elementary School,89,87,26,26
Cobb County,Campbell Middle School,Cobb County – Campbell Middle School,843,1522,863,1096
Cobb County,Ford Elementary School,Cobb County – Ford Elementary School,22,35,,22
Cobb County,Smitha Middle School,Cobb County – Smitha Middle School,1099,1145,1247,1291
Cobb County,Cheatham Hill Elementary School,Cobb County – Cheatham Hill Elementary School,163,124,28,43
Cobb County,Durham Middle School,Cobb County – Durham Middle School,263,286,241,215
Cobb County,Acworth Intermediate School,Cobb County – Acworth Intermediate School,146,188,89,100
Cobb County,Riverside Primary School,Cobb County – Riverside Primary School,106,95,40,42
Cobb County,Lindley 6th Grade Academy,Cobb County – Lindley 6th Grade Academy,597,279,299,292
Cobb County,Sprayberry High School,Cobb County – Sprayberry High School,1140,1363,1472,947
Cobb County,Murdock Elementary School,Cobb County – Murdock Elementary School,55,73,34,37
Cobb County,Rocky Mount Elementary School,Cobb County – Rocky Mount Elementary School,66,150,36,32
Cobb County,Lassiter High School,Cobb County – Lassiter High School,267,332,270,197
Cobb County,Davis Elementary School,Cobb County – Davis Elementary School,43,61,16,19
Cobb County,Simpson Middle School,Cobb County – Simpson Middle School,337,283,243,436
Cobb County,Nicholson Elementary School,Cobb County – Nicholson Elementary School,39,80,24,42
Cobb County,Hightower Trail Middle School,Cobb County – Hightower Trail Middle School,132,77,69,84
Cobb County,Green Acres Elementary School,Cobb County – Green Acres Elementary School,44,17,58,65
Cobb County,Sanders Elementary School,Cobb County – Sanders Elementary School,217,229,114,194
Cobb County,Blackwell Elementary School,Cobb County – Blackwell Elementary School,180,251,84,39
Cobb County,Hendricks Elementary School,Cobb County – Hendricks Elementary School,136,205,31,80
Cobb County,Kennesaw Elem School,Cobb County – Kennesaw Elem School,16,63,,
Cobb County,Barber Middle School,Cobb County – Barber Middle School,385,378,468,410
Cobb County,Tapp Middle School,Cobb County – Tapp Middle School,1077,1062,935,999
Cobb County,Sope Creek Elementary School,Cobb County – Sope Creek Elementary School,36,62,31,51
Cobb County,Powder Springs Elementary School,Cobb County – Powder Springs Elementary School,249,295,144,187
Cobb County,Lost Mountain Middle School,Cobb County – Lost Mountain Middle School,205,399,346,290
Cobb County,Cooper Middle School,Cobb County – Cooper Middle School,1107,1179,807,802
Cobb County,Big Shanty Elementary School,Cobb County – Big Shanty Elementary School,82,97,54,75
Cobb County,McClure Middle School,Cobb County – McClure Middle School,370,362,532,343
Cobb County,Bryant Elementary School,Cobb County – Bryant Elementary School,107,215,213,327
Cobb County,Palmer Middle School,Cobb County – Palmer Middle School,428,407,387,329
Cobb County,Lovinggood Middle School,Cobb County – Lovinggood Middle School,482,530,291,273
Cobb County,Hillgrove High School,Cobb County – Hillgrove High School,406,685,653,726
Cobb County,Belmont Hills Elementary School,Cobb County – Belmont Hills Elementary School,42,55,,
Cobb County,Campbell High School,Cobb County – Campbell High School,1255,1923,1780,1438
Cobb County,East Cobb Middle School,Cobb County – East Cobb Middle School,1129,717,848,831
Cobb County,Garrett Middle School,Cobb County – Garrett Middle School,571,774,1226,852
Cobb County,McEachern High School,Cobb County – McEachern High School,2457,2177,1760,1507
Cobb County,Norton Park Elementary School,Cobb County – Norton Park Elementary School,67,81,154,105
Cobb County,Powers Ferry Elementary School,Cobb County – Powers Ferry Elementary School,162,219,101,48
