SCHOOL_DISTRICT,SCHOOL_NAME,ENROLLMENT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_STATEMENT
Cobb County,Argyle Elementary School,529,Argyle Elementary School's enrollment is in the 19th percentile of all Georgia schools.,10,1.9,Argyle Elementary School's percentage of students with discipline incidents is in the 4th percentile of all Georgia schools.,13,Argyle Elementary School's total number of discipline incidents is in the 0th percentile of all Georgia schools.,0.025,Argyle Elementary School's incidents per student rate is in the 3rd percentile of all Georgia schools.
Cobb County,North Cobb High School,3041,North Cobb High School's enrollment is in the 99th percentile of all Georgia schools.,521,17.1,North Cobb High School's percentage of students with discipline incidents is in the 66th percentile of all Georgia schools.,1121,North Cobb High School's total number of discipline incidents is in the 96th percentile of all Georgia schools.,0.369,North Cobb High School's incidents per student rate is in the 65th percentile of all Georgia schools.
Cobb County,King Springs Elementary School,1030,King Springs Elementary School's enrollment is in the 74th percentile of all Georgia schools.,28,2.7,King Springs Elementary School's percentage of students with discipline incidents is in the 10th percentile of all Georgia schools.,45,King Springs Elementary School's total number of discipline incidents is in the 18th percentile of all Georgia schools.,0.044,King Springs Elementary School's incidents per student rate is in the 11th percentile of all Georgia schools.
Cobb County,Osborne High School,2398,Osborne High School's enrollment is in the 98th percentile of all Georgia schools.,509,21.2,Osborne High School's percentage of students with discipline incidents is in the 76th percentile of all Georgia schools.,1052,Osborne High School's total number of discipline incidents is in the 94th percentile of all Georgia schools.,0.439,Osborne High School's incidents per student rate is in the 72nd percentile of all Georgia schools.
Cobb County,Griffin Middle School,1409,Griffin Middle School's enrollment is in the 89th percentile of all Georgia schools.,371,26.3,Griffin Middle School's percentage of students with discipline incidents is in the 85th percentile of all Georgia schools.,993,Griffin Middle School's total number of discipline incidents is in the 94th percentile of all Georgia schools.,0.705,Griffin Middle School's incidents per student rate is in the 87th percentile of all Georgia schools.
Cobb County,Clay Elementary School,458,Clay Elementary School's enrollment is in the 12th percentile of all Georgia schools.,33,7.2,Clay Elementary School's percentage of students with discipline incidents is in the 35th percentile of all Georgia schools.,55,Clay Elementary School's total number of discipline incidents is in the 23rd percentile of all Georgia schools.,0.12,Clay Elementary School's incidents per student rate is in the 33rd percentile of all Georgia schools.
Cobb County,South Cobb High School,2250,South Cobb High School's enrollment is in the 97th percentile of all Georgia schools.,584,26,South Cobb High School's percentage of students with discipline incidents is in the 85th percentile of all Georgia schools.,1283,South Cobb High School's total number of discipline incidents is in the 97th percentile of all Georgia schools.,0.57,South Cobb High School's incidents per student rate is in the 80th percentile of all Georgia schools.
Cobb County,Fair Oaks Elementary School,1101,Fair Oaks Elementary School's enrollment is in the 78th percentile of all Georgia schools.,48,4.4,Fair Oaks Elementary School's percentage of students with discipline incidents is in the 22nd percentile of all Georgia schools.,94,Fair Oaks Elementary School's total number of discipline incidents is in the 36th percentile of all Georgia schools.,0.085,Fair Oaks Elementary School's incidents per student rate is in the 24th percentile of all Georgia schools.
Cobb County,Harmony-Leland Elementary School,774,Harmony-Leland Elementary School's enrollment is in the 49th percentile of all Georgia schools.,59,7.6,Harmony-Leland Elementary School's percentage of students with discipline incidents is in the 37th percentile of all Georgia schools.,142,Harmony-Leland Elementary School's total number of discipline incidents is in the 46th percentile of all Georgia schools.,0.183,Harmony-Leland Elementary School's incidents per student rate is in the 44th percentile of all Georgia schools.
Cobb County,LaBelle Elementary School,563,LaBelle Elementary School's enrollment is in the 23rd percentile of all Georgia schools.,20,3.6,LaBelle Elementary School's percentage of students with discipline incidents is in the 17th percentile of all Georgia schools.,30,LaBelle Elementary School's total number of discipline incidents is in the 10th percentile of all Georgia schools.,0.053,LaBelle Elementary School's incidents per student rate is in the 14th percentile of all Georgia schools.
Cobb County,Milford Elementary School,558,Milford Elementary School's enrollment is in the 23rd percentile of all Georgia schools.,77,13.8,Milford Elementary School's percentage of students with discipline incidents is in the 56th percentile of all Georgia schools.,159,Milford Elementary School's total number of discipline incidents is in the 49th percentile of all Georgia schools.,0.285,Milford Elementary School's incidents per student rate is in the 56th percentile of all Georgia schools.
Cobb County,Russell Elementary School,769,Russell Elementary School's enrollment is in the 49th percentile of all Georgia schools.,25,3.3,Russell Elementary School's percentage of students with discipline incidents is in the 15th percentile of all Georgia schools.,32,Russell Elementary School's total number of discipline incidents is in the 11th percentile of all Georgia schools.,0.042,Russell Elementary School's incidents per student rate is in the 10th percentile of all Georgia schools.
Cobb County,Compton Elementary School,644,Compton Elementary School's enrollment is in the 32nd percentile of all Georgia schools.,78,12.1,Compton Elementary School's percentage of students with discipline incidents is in the 53rd percentile of all Georgia schools.,207,Compton Elementary School's total number of discipline incidents is in the 56th percentile of all Georgia schools.,0.321,Compton Elementary School's incidents per student rate is in the 61st percentile of all Georgia schools.
Cobb County,Awtrey Middle School,913,Awtrey Middle School's enrollment is in the 66th percentile of all Georgia schools.,150,16.4,Awtrey Middle School's percentage of students with discipline incidents is in the 63rd percentile of all Georgia schools.,323,Awtrey Middle School's total number of discipline incidents is in the 69th percentile of all Georgia schools.,0.354,Awtrey Middle School's incidents per student rate is in the 64th percentile of all Georgia schools.
Cobb County,Daniell Middle School,1091,Daniell Middle School's enrollment is in the 77th percentile of all Georgia schools.,261,23.9,Daniell Middle School's percentage of students with discipline incidents is in the 81st percentile of all Georgia schools.,606,Daniell Middle School's total number of discipline incidents is in the 84th percentile of all Georgia schools.,0.555,Daniell Middle School's incidents per student rate is in the 79th percentile of all Georgia schools.
