SYS_SCH,ENROLLMENT,ENROLLMENT_PCT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_PCT,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_PCT,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_PCT,INCIDENTS_PER_STUDENT_STATEMENT
Calhoun County – All Schools,688,12,Calhoun County's enrollment is in the 12th percentile of all Georgia school systems.,159,23.1,82,Calhoun County's percentage of students with discipline incidents is in the 82nd percentile of all Georgia school systems.,364,21,Calhoun County's total number of discipline incidents is in the 21st percentile of all Georgia school systems.,0.529,78,Calhoun County's incidents per student rate is in the 78th percentile of all Georgia school systems.
Camden County – All Schools,9709,82,Camden County's enrollment is in the 82nd percentile of all Georgia school systems.,1193,12.3,30,Camden County's percentage of students with discipline incidents is in the 30th percentile of all Georgia school systems.,2969,77,Camden County's total number of discipline incidents is in the 77th percentile of all Georgia school systems.,0.306,44,Camden County's incidents per student rate is in the 44th percentile of all Georgia school systems.
Candler County – All Schools,2378,40,Candler County's enrollment is in the 40th percentile of all Georgia school systems.,367,15.4,52,Candler County's percentage of students with discipline incidents is in the 52nd percentile of all Georgia school systems.,784,39,Candler County's total number of discipline incidents is in the 39th percentile of all Georgia school systems.,0.33,52,Candler County's incidents per student rate is in the 52nd percentile of all Georgia school systems.
Carroll County – All Schools,16314,89,Carroll County's enrollment is in the 89th percentile of all Georgia school systems.,2135,13.1,38,Carroll County's percentage of students with discipline incidents is in the 38th percentile of all Georgia school systems.,5213,88,Carroll County's total number of discipline incidents is in the 88th percentile of all Georgia school systems.,0.32,48,Carroll County's incidents per student rate is in the 48th percentile of all Georgia school systems.
Carrollton City – All Schools,5387,70,Carrollton City's enrollment is in the 70th percentile of all Georgia school systems.,671,12.5,33,Carrollton City's percentage of students with discipline incidents is in the 33rd percentile of all Georgia school systems.,1416,56,Carrollton City's total number of discipline incidents is in the 56th percentile of all Georgia school systems.,0.263,33,Carrollton City's incidents per student rate is in the 33rd percentile of all Georgia school systems.
Cartersville City – All Schools,4741,67,Cartersville City's enrollment is in the 67th percentile of all Georgia school systems.,631,13.3,39,Cartersville City's percentage of students with discipline incidents is in the 39th percentile of all Georgia school systems.,1684,61,Cartersville City's total number of discipline incidents is in the 61st percentile of all Georgia school systems.,0.355,53,Cartersville City's incidents per student rate is in the 53rd percentile of all Georgia school systems.
Catoosa County – All Schools,7638,76,Catoosa County's enrollment is in the 76th percentile of all Georgia school systems.,666,8.7,11,Catoosa County's percentage of students with discipline incidents is in the 11th percentile of all Georgia school systems.,1267,53,Catoosa County's total number of discipline incidents is in the 53rd percentile of all Georgia school systems.,0.166,14,Catoosa County's incidents per student rate is in the 14th percentile of all Georgia school systems.
Charlton County – All Schools,1826,32,Charlton County's enrollment is in the 32nd percentile of all Georgia school systems.,387,21.2,77,Charlton County's percentage of students with discipline incidents is in the 77th percentile of all Georgia school systems.,1035,45,Charlton County's total number of discipline incidents is in the 45th percentile of all Georgia school systems.,0.567,81,Charlton County's incidents per student rate is in the 81st percentile of all Georgia school systems.
Chatham County – All Schools,39454,95,Chatham County's enrollment is in the 95th percentile of all Georgia school systems.,4717,12,27,Chatham County's percentage of students with discipline incidents is in the 27th percentile of all Georgia school systems.,9294,93,Chatham County's total number of discipline incidents is in the 93rd percentile of all Georgia school systems.,0.236,28,Chatham County's incidents per student rate is in the 28th percentile of all Georgia school systems.
Chattahoochee County – All Schools,973,17,Chattahoochee County's enrollment is in the 17th percentile of all Georgia school systems.,238,24.5,87,Chattahoochee County's percentage of students with discipline incidents is in the 87th percentile of all Georgia school systems.,497,26,Chattahoochee County's total number of discipline incidents is in the 26th percentile of all Georgia school systems.,0.511,75,Chattahoochee County's incidents per student rate is in the 75th percentile of all Georgia school systems.
Chattooga County – All Schools,1429,23,Chattooga County's enrollment is in the 23rd percentile of all Georgia school systems.,176,12.3,30,Chattooga County's percentage of students with discipline incidents is in the 30th percentile of all Georgia school systems.,293,17,Chattooga County's total number of discipline incidents is in the 17th percentile of all Georgia school systems.,0.205,22,Chattooga County's incidents per student rate is in the 22nd percentile of all Georgia school systems.
Cherokee County – All Schools,43807,96,Cherokee County's enrollment is in the 96th percentile of all Georgia school systems.,4850,11.1,23,Cherokee County's percentage of students with discipline incidents is in the 23rd percentile of all Georgia school systems.,11979,93,Cherokee County's total number of discipline incidents is in the 93rd percentile of all Georgia school systems.,0.273,35,Cherokee County's incidents per student rate is in the 35th percentile of all Georgia school systems.
Chickamauga City – All Schools,795,13,Chickamauga City's enrollment is in the 13rd percentile of all Georgia school systems.,86,10.8,21,Chickamauga City's percentage of students with discipline incidents is in the 21st percentile of all Georgia school systems.,108,10,Chickamauga City's total number of discipline incidents is in the 10th percentile of all Georgia school systems.,0.136,11,Chickamauga City's incidents per student rate is in the 11th percentile of all Georgia school systems.
Clarke County – All Schools,14426,87,Clarke County's enrollment is in the 87th percentile of all Georgia school systems.,2029,14.1,45,Clarke County's percentage of students with discipline incidents is in the 45th percentile of all Georgia school systems.,5476,89,Clarke County's total number of discipline incidents is in the 89th percentile of all Georgia school systems.,0.38,56,Clarke County's incidents per student rate is in the 56th percentile of all Georgia school systems.
Clay County – All Schools,259,3,Clay County's enrollment is in the 3rd percentile of all Georgia school systems.,93,35.9,99,Clay County's percentage of students with discipline incidents is in the 99th percentile of all Georgia school systems.,263,15,Clay County's total number of discipline incidents is in the 15th percentile of all Georgia school systems.,1.015,98,Clay County's incidents per student rate is in the 98th percentile of all Georgia school systems.
Clayton County – All Schools,62973,98,Clayton County's enrollment is in the 98th percentile of all Georgia school systems.,8992,14.3,45,Clayton County's percentage of students with discipline incidents is in the 45th percentile of all Georgia school systems.,20724,97,Clayton County's total number of discipline incidents is in the 97th percentile of all Georgia school systems.,0.329,51,Clayton County's incidents per student rate is in the 51st percentile of all Georgia school systems.
Clinch County – All Schools,1502,26,Clinch County's enrollment is in the 26th percentile of all Georgia school systems.,374,24.9,88,Clinch County's percentage of students with discipline incidents is in the 88th percentile of all Georgia school systems.,1112,48,Clinch County's total number of discipline incidents is in the 48th percentile of all Georgia school systems.,0.74,91,Clinch County's incidents per student rate is in the 91st percentile of all Georgia school systems.
Cobb County – All Schools,119964,99,Cobb County's enrollment is in the 99th percentile of all Georgia school systems.,14394,12,27,Cobb County's percentage of students with discipline incidents is in the 27th percentile of all Georgia school systems.,32368,99,Cobb County's total number of discipline incidents is in the 99th percentile of all Georgia school systems.,0.27,35,Cobb County's incidents per student rate is in the 35th percentile of all Georgia school systems.
Coffee County – All Schools,8493,77,Coffee County's enrollment is in the 77th percentile of all Georgia school systems.,1478,17.4,62,Coffee County's percentage of students with discipline incidents is in the 62nd percentile of all Georgia school systems.,3691,80,Coffee County's total number of discipline incidents is in the 80th percentile of all Georgia school systems.,0.435,64,Coffee County's incidents per student rate is in the 64th percentile of all Georgia school systems.
Colquitt County – All Schools,9474,81,Colquitt County's enrollment is in the 81st percentile of all Georgia school systems.,1304,13.8,43,Colquitt County's percentage of students with discipline incidents is in the 43rd percentile of all Georgia school systems.,2678,74,Colquitt County's total number of discipline incidents is in the 74th percentile of all Georgia school systems.,0.283,39,Colquitt County's incidents per student rate is in the 39th percentile of all Georgia school systems.
Columbia County – All Schools,25953,91,Columbia County's enrollment is in the 91st percentile of all Georgia school systems.,3219,12.4,31,Columbia County's percentage of students with discipline incidents is in the 31st percentile of all Georgia school systems.,7955,92,Columbia County's total number of discipline incidents is in the 92nd percentile of all Georgia school systems.,0.307,44,Columbia County's incidents per student rate is in the 44th percentile of all Georgia school systems.
Commerce City – All Schools,1231,19,Commerce City's enrollment is in the 19th percentile of all Georgia school systems.,158,12.8,36,Commerce City's percentage of students with discipline incidents is in the 36th percentile of all Georgia school systems.,288,16,Commerce City's total number of discipline incidents is in the 16th percentile of all Georgia school systems.,0.234,27,Commerce City's incidents per student rate is in the 27th percentile of all Georgia school systems.
Commission Charter Schools- Atlanta Heights Charter School – All Schools,827,13,Commission Charter Schools- Atlanta Heights Charter School's enrollment is in the 13rd percentile of all Georgia school systems.,22,2.7,3,Commission Charter Schools- Atlanta Heights Charter School's percentage of students with discipline incidents is in the 3rd percentile of all Georgia school systems.,29,3,Commission Charter Schools- Atlanta Heights Charter School's total number of discipline incidents is in the 3rd percentile of all Georgia school systems.,0.035,3,Commission Charter Schools- Atlanta Heights Charter School's incidents per student rate is in the 3rd percentile of all Georgia school systems.
Commission Charter Schools- Brookhaven Innovation Academy – All Schools,433,6,Commission Charter Schools- Brookhaven Innovation Academy's enrollment is in the 6th percentile of all Georgia school systems.,15,3.5,5,Commission Charter Schools- Brookhaven Innovation Academy's percentage of students with discipline incidents is in the 5th percentile of all Georgia school systems.,20,2,Commission Charter Schools- Brookhaven Innovation Academy's total number of discipline incidents is in the 2nd percentile of all Georgia school systems.,0.046,5,Commission Charter Schools- Brookhaven Innovation Academy's incidents per student rate is in the 5th percentile of all Georgia school systems.
Commission Charter Schools- Cirrus Charter Academy – All Schools,539,8,Commission Charter Schools- Cirrus Charter Academy's enrollment is in the 8th percentile of all Georgia school systems.,91,16.9,59,Commission Charter Schools- Cirrus Charter Academy's percentage of students with discipline incidents is in the 59th percentile of all Georgia school systems.,141,11,Commission Charter Schools- Cirrus Charter Academy's total number of discipline incidents is in the 11th percentile of all Georgia school systems.,0.262,32,Commission Charter Schools- Cirrus Charter Academy's incidents per student rate is in the 32nd percentile of all Georgia school systems.
Commission Charter Schools- Coweta Charter Academy – All Schools,759,12,Commission Charter Schools- Coweta Charter Academy's enrollment is in the 12th percentile of all Georgia school systems.,23,3,4,Commission Charter Schools- Coweta Charter Academy's percentage of students with discipline incidents is in the 4th percentile of all Georgia school systems.,33,4,Commission Charter Schools- Coweta Charter Academy's total number of discipline incidents is in the 4th percentile of all Georgia school systems.,0.043,4,Commission Charter Schools- Coweta Charter Academy's incidents per student rate is in the 4th percentile of all Georgia school systems.
Commission Charter Schools- Fulton Leadership Academy – All Schools,440,6,Commission Charter Schools- Fulton Leadership Academy's enrollment is in the 6th percentile of all Georgia school systems.,15,3.4,4,Commission Charter Schools- Fulton Leadership Academy's percentage of students with discipline incidents is in the 4th percentile of all Georgia school systems.,20,2,Commission Charter Schools- Fulton Leadership Academy's total number of discipline incidents is in the 2nd percentile of all Georgia school systems.,0.045,4,Commission Charter Schools- Fulton Leadership Academy's incidents per student rate is in the 4th percentile of all Georgia school systems.
Commission Charter Schools- Pataula Charter Academy – All Schools,586,9,Commission Charter Schools- Pataula Charter Academy's enrollment is in the 9th percentile of all Georgia school systems.,153,26.1,91,Commission Charter Schools- Pataula Charter Academy's percentage of students with discipline incidents is in the 91st percentile of all Georgia school systems.,271,16,Commission Charter Schools- Pataula Charter Academy's total number of discipline incidents is in the 16th percentile of all Georgia school systems.,0.462,67,Commission Charter Schools- Pataula Charter Academy's incidents per student rate is in the 67th percentile of all Georgia school systems.
Cook County – All Schools,3523,56,Cook County's enrollment is in the 56th percentile of all Georgia school systems.,695,19.7,72,Cook County's percentage of students with discipline incidents is in the 72nd percentile of all Georgia school systems.,1786,62,Cook County's total number of discipline incidents is in the 62nd percentile of all Georgia school systems.,0.507,74,Cook County's incidents per student rate is in the 74th percentile of all Georgia school systems.
Coweta County – All Schools,22842,91,Coweta County's enrollment is in the 91st percentile of all Georgia school systems.,2294,10,17,Coweta County's percentage of students with discipline incidents is in the 17th percentile of all Georgia school systems.,4657,85,Coweta County's total number of discipline incidents is in the 85th percentile of all Georgia school systems.,0.204,21,Coweta County's incidents per student rate is in the 21st percentile of all Georgia school systems.
Crawford County – All Schools,1814,31,Crawford County's enrollment is in the 31st percentile of all Georgia school systems.,277,15.3,51,Crawford County's percentage of students with discipline incidents is in the 51st percentile of all Georgia school systems.,598,31,Crawford County's total number of discipline incidents is in the 31st percentile of all Georgia school systems.,0.33,52,Crawford County's incidents per student rate is in the 52nd percentile of all Georgia school systems.
Crisp County – All Schools,4122,62,Crisp County's enrollment is in the 62nd percentile of all Georgia school systems.,1175,28.5,95,Crisp County's percentage of students with discipline incidents is in the 95th percentile of all Georgia school systems.,3263,80,Crisp County's total number of discipline incidents is in the 80th percentile of all Georgia school systems.,0.792,92,Crisp County's incidents per student rate is in the 92nd percentile of all Georgia school systems.
Dade County – All Schools,1972,35,Dade County's enrollment is in the 35th percentile of all Georgia school systems.,263,13.3,39,Dade County's percentage of students with discipline incidents is in the 39th percentile of all Georgia school systems.,522,28,Dade County's total number of discipline incidents is in the 28th percentile of all Georgia school systems.,0.265,33,Dade County's incidents per student rate is in the 33rd percentile of all Georgia school systems.
Dalton City – All Schools,4362,64,Dalton City's enrollment is in the 64th percentile of all Georgia school systems.,81,1.9,2,Dalton City's percentage of students with discipline incidents is in the 2nd percentile of all Georgia school systems.,96,10,Dalton City's total number of discipline incidents is in the 10th percentile of all Georgia school systems.,0.022,2,Dalton City's incidents per student rate is in the 2nd percentile of all Georgia school systems.
Dawson County – All Schools,2891,46,Dawson County's enrollment is in the 46th percentile of all Georgia school systems.,325,11.2,25,Dawson County's percentage of students with discipline incidents is in the 25th percentile of all Georgia school systems.,619,33,Dawson County's total number of discipline incidents is in the 33rd percentile of all Georgia school systems.,0.214,22,Dawson County's incidents per student rate is in the 22nd percentile of all Georgia school systems.
DeKalb County – All Schools,103298,99,DeKalb County's enrollment is in the 99th percentile of all Georgia school systems.,13683,13.2,38,DeKalb County's percentage of students with discipline incidents is in the 38th percentile of all Georgia school systems.,30066,98,DeKalb County's total number of discipline incidents is in the 98th percentile of all Georgia school systems.,0.291,40,DeKalb County's incidents per student rate is in the 40th percentile of all Georgia school systems.
Decatur City – All Schools,3357,53,Decatur City's enrollment is in the 53rd percentile of all Georgia school systems.,309,9.2,14,Decatur City's percentage of students with discipline incidents is in the 14th percentile of all Georgia school systems.,578,31,Decatur City's total number of discipline incidents is in the 31st percentile of all Georgia school systems.,0.172,15,Decatur City's incidents per student rate is in the 15th percentile of all Georgia school systems.
Decatur County – All Schools,5771,71,Decatur County's enrollment is in the 71st percentile of all Georgia school systems.,798,13.8,43,Decatur County's percentage of students with discipline incidents is in the 43rd percentile of all Georgia school systems.,1827,63,Decatur County's total number of discipline incidents is in the 63rd percentile of all Georgia school systems.,0.317,47,Decatur County's incidents per student rate is in the 47th percentile of all Georgia school systems.
Dodge County – All Schools,3382,53,Dodge County's enrollment is in the 53rd percentile of all Georgia school systems.,432,12.8,36,Dodge County's percentage of students with discipline incidents is in the 36th percentile of all Georgia school systems.,960,45,Dodge County's total number of discipline incidents is in the 45th percentile of all Georgia school systems.,0.284,39,Dodge County's incidents per student rate is in the 39th percentile of all Georgia school systems.
Dooly County – All Schools,1435,24,Dooly County's enrollment is in the 24th percentile of all Georgia school systems.,561,39.1,100,Dooly County's percentage of students with discipline incidents is in the 100th percentile of all Georgia school systems.,2015,66,Dooly County's total number of discipline incidents is in the 66th percentile of all Georgia school systems.,1.404,100,Dooly County's incidents per student rate is in the 100th percentile of all Georgia school systems.
Dougherty County – All Schools,15626,88,Dougherty County's enrollment is in the 88th percentile of all Georgia school systems.,2274,14.6,46,Dougherty County's percentage of students with discipline incidents is in the 46th percentile of all Georgia school systems.,4825,87,Dougherty County's total number of discipline incidents is in the 87th percentile of all Georgia school systems.,0.309,45,Dougherty County's incidents per student rate is in the 45th percentile of all Georgia school systems.
Douglas County – All Schools,28209,92,Douglas County's enrollment is in the 92nd percentile of all Georgia school systems.,5359,19,69,Douglas County's percentage of students with discipline incidents is in the 69th percentile of all Georgia school systems.,14430,94,Douglas County's total number of discipline incidents is in the 94th percentile of all Georgia school systems.,0.512,75,Douglas County's incidents per student rate is in the 75th percentile of all Georgia school systems.
Dublin City – All Schools,2781,45,Dublin City's enrollment is in the 45th percentile of all Georgia school systems.,654,23.5,84,Dublin City's percentage of students with discipline incidents is in the 84th percentile of all Georgia school systems.,1345,55,Dublin City's total number of discipline incidents is in the 55th percentile of all Georgia school systems.,0.484,70,Dublin City's incidents per student rate is in the 70th percentile of all Georgia school systems.
Early County – All Schools,2302,38,Early County's enrollment is in the 38th percentile of all Georgia school systems.,564,24.5,87,Early County's percentage of students with discipline incidents is in the 87th percentile of all Georgia school systems.,1243,52,Early County's total number of discipline incidents is in the 52nd percentile of all Georgia school systems.,0.54,79,Early County's incidents per student rate is in the 79th percentile of all Georgia school systems.
Echols County – All Schools,888,15,Echols County's enrollment is in the 15th percentile of all Georgia school systems.,142,16,56,Echols County's percentage of students with discipline incidents is in the 56th percentile of all Georgia school systems.,244,14,Echols County's total number of discipline incidents is in the 14th percentile of all Georgia school systems.,0.275,36,Echols County's incidents per student rate is in the 36th percentile of all Georgia school systems.
Effingham County – All Schools,12171,85,Effingham County's enrollment is in the 85th percentile of all Georgia school systems.,1808,14.9,48,Effingham County's percentage of students with discipline incidents is in the 48th percentile of all Georgia school systems.,4899,87,Effingham County's total number of discipline incidents is in the 87th percentile of all Georgia school systems.,0.403,60,Effingham County's incidents per student rate is in the 60th percentile of all Georgia school systems.
Elbert County – All Schools,3042,48,Elbert County's enrollment is in the 48th percentile of all Georgia school systems.,601,19.8,72,Elbert County's percentage of students with discipline incidents is in the 72nd percentile of all Georgia school systems.,1471,56,Elbert County's total number of discipline incidents is in the 56th percentile of all Georgia school systems.,0.484,70,Elbert County's incidents per student rate is in the 70th percentile of all Georgia school systems.
Emanuel County – All Schools,4725,66,Emanuel County's enrollment is in the 66th percentile of all Georgia school systems.,807,17.1,60,Emanuel County's percentage of students with discipline incidents is in the 60th percentile of all Georgia school systems.,2180,68,Emanuel County's total number of discipline incidents is in the 68th percentile of all Georgia school systems.,0.461,67,Emanuel County's incidents per student rate is in the 67th percentile of all Georgia school systems.
Evans County – All Schools,2017,36,Evans County's enrollment is in the 36th percentile of all Georgia school systems.,185,9.2,14,Evans County's percentage of students with discipline incidents is in the 14th percentile of all Georgia school systems.,304,17,Evans County's total number of discipline incidents is in the 17th percentile of all Georgia school systems.,0.151,12,Evans County's incidents per student rate is in the 12th percentile of all Georgia school systems.
Fannin County – All Schools,2648,43,Fannin County's enrollment is in the 43rd percentile of all Georgia school systems.,426,16.1,56,Fannin County's percentage of students with discipline incidents is in the 56th percentile of all Georgia school systems.,806,40,Fannin County's total number of discipline incidents is in the 40th percentile of all Georgia school systems.,0.304,43,Fannin County's incidents per student rate is in the 43rd percentile of all Georgia school systems.
Fayette County – All Schools,18921,90,Fayette County's enrollment is in the 90th percentile of all Georgia school systems.,1905,10.1,18,Fayette County's percentage of students with discipline incidents is in the 18th percentile of all Georgia school systems.,3732,81,Fayette County's total number of discipline incidents is in the 81st percentile of all Georgia school systems.,0.197,19,Fayette County's incidents per student rate is in the 19th percentile of all Georgia school systems.
Floyd County – All Schools,8952,80,Floyd County's enrollment is in the 80th percentile of all Georgia school systems.,936,10.5,20,Floyd County's percentage of students with discipline incidents is in the 20th percentile of all Georgia school systems.,1745,61,Floyd County's total number of discipline incidents is in the 61st percentile of all Georgia school systems.,0.195,18,Floyd County's incidents per student rate is in the 18th percentile of all Georgia school systems.
Forsyth County – All Schools,40461,96,Forsyth County's enrollment is in the 96th percentile of all Georgia school systems.,2145,5.3,7,Forsyth County's percentage of students with discipline incidents is in the 7th percentile of all Georgia school systems.,4110,82,Forsyth County's total number of discipline incidents is in the 82nd percentile of all Georgia school systems.,0.102,7,Forsyth County's incidents per student rate is in the 7th percentile of all Georgia school systems.
Franklin County – All Schools,2712,44,Franklin County's enrollment is in the 44th percentile of all Georgia school systems.,223,8.2,11,Franklin County's percentage of students with discipline incidents is in the 11th percentile of all Georgia school systems.,356,20,Franklin County's total number of discipline incidents is in the 20th percentile of all Georgia school systems.,0.131,10,Franklin County's incidents per student rate is in the 10th percentile of all Georgia school systems.
Fulton County – All Schools,101803,98,Fulton County's enrollment is in the 98th percentile of all Georgia school systems.,10583,10.4,19,Fulton County's percentage of students with discipline incidents is in the 19th percentile of all Georgia school systems.,22333,98,Fulton County's total number of discipline incidents is in the 98th percentile of all Georgia school systems.,0.219,24,Fulton County's incidents per student rate is in the 24th percentile of all Georgia school systems.
Gainesville City – All Schools,8729,79,Gainesville City's enrollment is in the 79th percentile of all Georgia school systems.,1079,12.4,31,Gainesville City's percentage of students with discipline incidents is in the 31st percentile of all Georgia school systems.,2426,71,Gainesville City's total number of discipline incidents is in the 71st percentile of all Georgia school systems.,0.278,36,Gainesville City's incidents per student rate is in the 36th percentile of all Georgia school systems.
Gilmer County – All Schools,4608,65,Gilmer County's enrollment is in the 65th percentile of all Georgia school systems.,345,7.5,9,Gilmer County's percentage of students with discipline incidents is in the 9th percentile of all Georgia school systems.,616,32,Gilmer County's total number of discipline incidents is in the 32nd percentile of all Georgia school systems.,0.134,11,Gilmer County's incidents per student rate is in the 11th percentile of all Georgia school systems.
Glascock County – All Schools,621,10,Glascock County's enrollment is in the 10th percentile of all Georgia school systems.,154,24.8,88,Glascock County's percentage of students with discipline incidents is in the 88th percentile of all Georgia school systems.,385,23,Glascock County's total number of discipline incidents is in the 23rd percentile of all Georgia school systems.,0.62,84,Glascock County's incidents per student rate is in the 84th percentile of all Georgia school systems.
Glynn County – All Schools,14745,87,Glynn County's enrollment is in the 87th percentile of all Georgia school systems.,2334,15.8,53,Glynn County's percentage of students with discipline incidents is in the 53rd percentile of all Georgia school systems.,6410,90,Glynn County's total number of discipline incidents is in the 90th percentile of all Georgia school systems.,0.435,64,Glynn County's incidents per student rate is in the 64th percentile of all Georgia school systems.
Gordon County – All Schools,6645,73,Gordon County's enrollment is in the 73rd percentile of all Georgia school systems.,994,15,49,Gordon County's percentage of students with discipline incidents is in the 49th percentile of all Georgia school systems.,2615,73,Gordon County's total number of discipline incidents is in the 73rd percentile of all Georgia school systems.,0.394,56,Gordon County's incidents per student rate is in the 56th percentile of all Georgia school systems.
Grady County – All Schools,5053,68,Grady County's enrollment is in the 68th percentile of all Georgia school systems.,919,18.2,66,Grady County's percentage of students with discipline incidents is in the 66th percentile of all Georgia school systems.,2417,71,Grady County's total number of discipline incidents is in the 71st percentile of all Georgia school systems.,0.478,69,Grady County's incidents per student rate is in the 69th percentile of all Georgia school systems.
Greene County – All Schools,1842,32,Greene County's enrollment is in the 32nd percentile of all Georgia school systems.,243,13.2,38,Greene County's percentage of students with discipline incidents is in the 38th percentile of all Georgia school systems.,568,30,Greene County's total number of discipline incidents is in the 30th percentile of all Georgia school systems.,0.308,45,Greene County's incidents per student rate is in the 45th percentile of all Georgia school systems.
Gwinnett County – All Schools,191577,100,Gwinnett County's enrollment is in the 100th percentile of all Georgia school systems.,20989,11,22,Gwinnett County's percentage of students with discipline incidents is in the 22nd percentile of all Georgia school systems.,49195,100,Gwinnett County's total number of discipline incidents is in the 100th percentile of all Georgia school systems.,0.257,31,Gwinnett County's incidents per student rate is in the 31st percentile of all Georgia school systems.
Habersham County – All Schools,5691,70,Habersham County's enrollment is in the 70th percentile of all Georgia school systems.,734,12.9,37,Habersham County's percentage of students with discipline incidents is in the 37th percentile of all Georgia school systems.,1461,56,Habersham County's total number of discipline incidents is in the 56th percentile of all Georgia school systems.,0.257,31,Habersham County's incidents per student rate is in the 31st percentile of all Georgia school systems.
Hall County – All Schools,28258,93,Hall County's enrollment is in the 93rd percentile of all Georgia school systems.,3799,13.4,40,Hall County's percentage of students with discipline incidents is in the 40th percentile of all Georgia school systems.,7902,91,Hall County's total number of discipline incidents is in the 91st percentile of all Georgia school systems.,0.28,38,Hall County's incidents per student rate is in the 38th percentile of all Georgia school systems.
Hancock County – All Schools,945,16,Hancock County's enrollment is in the 16th percentile of all Georgia school systems.,202,21.4,78,Hancock County's percentage of students with discipline incidents is in the 78th percentile of all Georgia school systems.,429,25,Hancock County's total number of discipline incidents is in the 25th percentile of all Georgia school systems.,0.454,66,Hancock County's incidents per student rate is in the 66th percentile of all Georgia school systems.
Haralson County – All Schools,3337,51,Haralson County's enrollment is in the 51st percentile of all Georgia school systems.,371,11.1,23,Haralson County's percentage of students with discipline incidents is in the 23rd percentile of all Georgia school systems.,722,37,Haralson County's total number of discipline incidents is in the 37th percentile of all Georgia school systems.,0.216,23,Haralson County's incidents per student rate is in the 23rd percentile of all Georgia school systems.
Harris County – All Schools,3944,60,Harris County's enrollment is in the 60th percentile of all Georgia school systems.,694,17.6,63,Harris County's percentage of students with discipline incidents is in the 63rd percentile of all Georgia school systems.,1648,60,Harris County's total number of discipline incidents is in the 60th percentile of all Georgia school systems.,0.418,62,Harris County's incidents per student rate is in the 62nd percentile of all Georgia school systems.
